CODAIUB AGO_70
CODMPC A70
CODTDM FMPI_CU
MEA J.Silha
ACK MPC Report file updated 
AC2 ago@fmph.uniba.sk
NET PPMXL
TIME_SYSTEM UTC
ORIGINATOR FMPI_CU
TEL Reflector 0.70-m/f4.2
OBS P.Jevcak
NOTE1 K
NOTE2 C
IMGCUT 0
ANN_ABERR 1
OFFSET_T 0.061
--FILENAME	RA	DEC	RA[deg]	DEC[deg]	X	Y	MJD	MAG	ERROR_MAG	ADU	ERROR_ADU	EXP_TIME	FILTER	TIME[mpc]	TIME[tdm]--

03005A_2_R-0001_m_s_a_m	06 38 20.31906	+09 46 16.57	99.5846628	9.7712683	512.31	535.19	59159.161850058	-07.39	0.144	    900.0	326.366	0.1	R	2020 11 06.16184	2020-11-06T03:53:03.795
03005A_2_R-0002_m_s_a_m	06 38 24.13279	+09 44 49.73	99.6005533	9.7471461	512.54	535.55	59159.161884005	-07.32	0.173	    849.0	368.409	0.1	R	2020 11 06.16188	2020-11-06T03:53:06.728
03005A_2_R-0003_m_s_a_m	06 38 28.01467	+09 43 25.49	99.6167278	9.7237478	512.71	534.87	59159.161917893	-07.34	0.164	    864.0	356.086	0.1	R	2020 11 06.16191	2020-11-06T03:53:09.656
03005A_2_R-0004_m_s_a_m	06 38 31.76097	+09 41 59.09	99.6323374	9.6997476	512.44	534.31	59159.161951655	-07.33	0.199	    859.0	429.356	0.1	R	2020 11 06.16194	2020-11-06T03:53:12.573
03005A_2_R-0007_m_s_a_m	06 38 43.41358	+09 37 44.80	99.6808899	9.6291097	512.92	534.52	59159.16205309	-07.79	0.199	   1302.0	650.342	0.1	R	2020 11 06.16205	2020-11-06T03:53:21.337
03005A_2_R-0008_m_s_a_m	06 38 47.11715	+09 36 19.90	99.6963215	9.6055265	514.85	535.87	59159.162087002	-07.80	0.192	   1322.0	637.531	0.1	R	2020 11 06.16208	2020-11-06T03:53:24.267
03005A_2_R-0009_m_s_a_m	06 38 51.01871	+09 34 53.72	99.712578	9.5815902	515.78	536.06	59159.16212081	-07.21	0.199	    767.0	383.371	0.1	R	2020 11 06.16212	2020-11-06T03:53:27.188
03005A_2_R-0012_m_s_a_m	06 39 02.65093	+09 30 42.52	99.7610455	9.5118113	514.62	534.25	59159.162222176	-07.27	0.175	    810.0	356.369	0.1	R	2020 11 06.16221	2020-11-06T03:53:35.946
03005A_2_R-0013_m_s_a_m	06 39 06.49345	+09 29 13.48	99.7770561	9.4870781	514.78	536.67	59159.162256088	-07.83	0.170	   1349.0	577.371	0.1	R	2020 11 06.16225	2020-11-06T03:53:38.876
03005A_2_R-0014_m_s_a_m	06 39 10.27023	+09 27 49.78	99.7927926	9.4638269	515.04	535.50	59159.162289931	-07.34	0.183	    860.0	395.368	0.1	R	2020 11 06.16228	2020-11-06T03:53:41.800
03005A_2_R-0015_m_s_a_m	06 39 14.04004	+09 26 25.77	99.8085002	9.4404926	515.77	534.47	59159.162323588	-07.26	0.168	    799.0	337.659	0.1	R	2020 11 06.16231	2020-11-06T03:53:44.708
03005A_2_R-0016_m_s_a_m	06 39 17.87393	+09 24 59.74	99.8244747	9.4165953	516.30	535.23	59159.162357569	-07.85	0.168	   1384.0	584.683	0.1	R	2020 11 06.16235	2020-11-06T03:53:47.644
03005A_2_R-0017_m_s_a_m	06 39 21.80549	+09 23 34.54	99.8408562	9.3929281	515.76	535.63	59159.162391215	-07.38	0.170	    898.0	384.481	0.1	R	2020 11 06.16238	2020-11-06T03:53:50.551
03005A_2_R-0019_m_s_a_m	06 39 29.31992	+09 20 44.94	99.8721663	9.3458165	518.04	535.81	59159.162459039	-07.92	0.189	   1470.0	697.200	0.1	R	2020 11 06.16245	2020-11-06T03:53:56.411
03005A_2_R-0020_m_s_a_m	06 39 33.23108	+09 19 19.80	99.8884628	9.3221673	517.51	535.77	59159.162492836	-07.41	0.135	    918.0	310.491	0.1	R	2020 11 06.16249	2020-11-06T03:53:59.331

