CODAIUB AGO_70
CODMPC A70
CODTDM FMPI_CU
MEA J.Silha
ACK MPC Report file updated 
AC2 ago@fmph.uniba.sk
NET PPMXL
TIME_SYSTEM UTC
ORIGINATOR FMPI_CU
TEL Reflector 0.70-m/f4.2
OBS P.Jevcak
NOTE1 K
NOTE2 C
IMGCUT 0
ANN_ABERR 1
OFFSET_T 0.061
--FILENAME	RA	DEC	RA[deg]	DEC[deg]	X	Y	MJD	MAG	ERROR_MAG	ADU	ERROR_ADU	EXP_TIME	FILTER	TIME[mpc]	TIME[tdm]--

10007C_5_R-0001_m_s_a_m	03 17 01.5609	+46 57 31.20	49.2565037	46.9586668	504.54	471.84	59158.99237912	-09.72	0.031	   7729.0	599.815	0.1	R	2020 11 05.99237	2020-11-05T23:49:01.506
10007C_5_R-0002_m_s_a_m	03 17 07.54315	+46 59 11.30	49.2814298	46.9864724	504.90	472.00	59158.992412963	-09.68	0.033	   7427.0	612.285	0.1	R	2020 11 05.99241	2020-11-05T23:49:04.430
10007C_5_R-0003_m_s_a_m	03 17 13.53764	+47 00 51.23	49.3064069	47.01423	504.87	472.37	59158.992446562	-09.64	0.030	   7162.0	546.348	0.1	R	2020 11 05.99244	2020-11-05T23:49:07.333
10007C_5_R-0004_m_s_a_m	03 17 19.5643	+47 02 31.43	49.3315179	47.0420636	504.39	471.82	59158.992480174	-09.72	0.034	   7757.0	667.011	0.1	R	2020 11 05.99248	2020-11-05T23:49:10.237
10007C_5_R-0005_m_s_a_m	03 17 25.62839	+47 04 11.05	49.356785	47.0697362	504.85	471.74	59158.992513924	-09.67	0.032	   7375.0	585.087	0.1	R	2020 11 05.99251	2020-11-05T23:49:13.153
10007C_5_R-0006_m_s_a_m	03 17 31.64473	+47 05 51.10	49.381853	47.0975288	504.77	472.05	59158.992547593	-09.66	0.031	   7293.0	565.750	0.1	R	2020 11 05.99255	2020-11-05T23:49:16.062
10007C_5_R-0007_m_s_a_m	03 17 37.73595	+47 07 31.05	49.4072331	47.1252923	504.81	471.85	59158.992581296	-09.74	0.030	   7865.0	593.488	0.1	R	2020 11 05.99257	2020-11-05T23:49:18.974
10007C_5_R-0008_m_s_a_m	03 17 43.7518	+47 09 10.68	49.4322992	47.1529679	505.15	472.15	59158.992615093	-09.72	0.027	   7699.0	517.361	0.1	R	2020 11 05.9926	2020-11-05T23:49:21.894
10007C_5_R-0009_m_s_a_m	03 17 49.82502	+47 10 50.74	49.4576043	47.1807605	505.90	472.10	59158.992648866	-09.70	0.031	   7606.0	587.649	0.1	R	2020 11 05.99264	2020-11-05T23:49:24.812
10007C_5_R-0010_m_s_a_m	03 17 55.88793	+47 12 31.02	49.4828664	47.208616	506.06	471.95	59158.992682546	-09.73	0.029	   7775.0	564.985	0.1	R	2020 11 05.99267	2020-11-05T23:49:27.722
10007C_5_R-0011_m_s_a_m	03 18 01.96498	+47 14 10.21	49.5081874	47.2361706	505.70	472.07	59158.992716146	-09.70	0.032	   7597.0	602.188	0.1	R	2020 11 05.99271	2020-11-05T23:49:30.625
10007C_5_R-0012_m_s_a_m	03 18 08.02764	+47 15 49.66	49.5334485	47.2637932	505.93	472.14	59158.992749745	-09.71	0.032	   7624.0	608.209	0.1	R	2020 11 05.99274	2020-11-05T23:49:33.528
10007C_5_R-0013_m_s_a_m	03 18 14.06246	+47 17 29.30	49.5585936	47.2914727	506.08	472.31	59158.992783333	-09.64	0.028	   7199.0	500.811	0.1	R	2020 11 05.99278	2020-11-05T23:49:36.430
10007C_5_R-0014_m_s_a_m	03 18 20.1832	+47 19 09.01	49.5840967	47.3191693	506.42	472.53	59158.992817014	-09.65	0.026	   7241.0	464.898	0.1	R	2020 11 05.99281	2020-11-05T23:49:39.340
10007C_5_R-0015_m_s_a_m	03 18 26.23434	+47 20 48.28	49.6093098	47.3467449	507.06	471.99	59158.992850602	-09.72	0.031	   7701.0	604.311	0.1	R	2020 11 05.99285	2020-11-05T23:49:42.242
10007C_5_R-0016_m_s_a_m	03 18 32.3486	+47 22 27.85	49.6347858	47.3744024	507.34	472.36	59158.992884178	-09.73	0.024	   7782.0	469.362	0.1	R	2020 11 05.99288	2020-11-05T23:49:45.143
10007C_5_R-0017_m_s_a_m	03 18 38.40094	+47 24 07.03	49.6600039	47.401953	507.51	472.47	59158.992917743	-09.66	0.029	   7342.0	530.881	0.1	R	2020 11 05.99292	2020-11-05T23:49:48.043
10007C_5_R-0018_m_s_a_m	03 18 44.44033	+47 25 46.66	49.685168	47.4296275	508.14	472.46	59158.99295147	-09.64	0.028	   7159.0	500.812	0.1	R	2020 11 05.99294	2020-11-05T23:49:50.957
10007C_5_R-0020_m_s_a_m	03 18 56.70222	+47 29 05.23	49.7362592	47.4847866	508.69	471.83	59158.993018634	-09.71	0.032	   7669.0	607.379	0.1	R	2020 11 05.99301	2020-11-05T23:49:56.760

